scale,9125,1.33264,0.0295958,-0.233513
scale,1044,1.03743,0.0287778,-0.792497
scale,948,1.50794,0.039599,0.581806
scale,827,9.08696,0.172041,0.0111482
scale,768,0.201754,0.292906,-1.51244
scale,750,1.0146,0.0393846,-0.307851
scale,595,1.08333,0.152564,0.642007
hammer,7182,2.07419,0.0360307,0.0438134
hammer,4475,0.815436,0.0617974,-0.956393
hammer,2823,0.782609,0.03479,-1.39641
hammer,851,0.567797,0.10764,1.17303
hammer,841,0.652174,0.152355,-1.06479
hammer,797,1.5,0.0381595,0.551153
handle,8142,2.07097,0.0409105,-0.0208051
handle,5653,2.32609,0.0319032,0.0473502
handle,1062,1.89189,0.10251,0.456558
handle,718,1.4717,0.0434204,0.587036
tool,4681,4.39041,0.0500182,0.0474217
tool,4325,0.780186,0.0531353,-1.28123
tool,3463,0.883178,0.0856203,-0.86008
tool,1586,1.46032,0.0304041,0.578673
tool,1007,1.52448,0.0323026,0.582376
tool,765,1.04688,0.178405,0.808101
small_box,8165,1.33264,0.0264821,0.157206
small_box,1316,0.954023,0.182246,-0.88861
small_box,923,0.487395,0.133729,-1.18519
small_box,786,1.47107,0.0364936,0.589314
small_box,610,0.0372671,0.63147,1.56952
small_box,568,1.06349,0.134565,0.743866
